timestamp,epic,bid,ask,price,volume,timeframe
2026-03-11T03:34:11.195Z,CS.D.EURUSD.MINI.IP,1.1628,1.16286,1.16283,559,1h
2026-03-11T03:34:11.592Z,CS.D.GBPUSD.MINI.IP,1.34474,1.34489,1.344815,363,1h
2026-03-11T03:34:12.548Z,CS.D.EURUSD.MINI.IP,1.1628,1.16286,1.16283,175,1h
2026-03-11T03:34:12.892Z,CS.D.GBPUSD.MINI.IP,1.34475,1.3449,1.344825,421,1h
2026-03-11T03:34:13.963Z,CS.D.EURUSD.MINI.IP,1.16279,1.16285,1.16282,296,1h
2026-03-11T03:34:13.980Z,CS.D.EURUSD.MINI.IP,1.16279,1.16285,1.16282,238,1h
2026-03-11T03:34:14.326Z,CS.D.GBPUSD.MINI.IP,1.34475,1.3449,1.344825,1020,1h
2026-03-11T03:34:14.336Z,CS.D.GBPUSD.MINI.IP,1.34475,1.3449,1.344825,898,1h
2026-03-11T03:34:15.622Z,CS.D.EURUSD.MINI.IP,1.16279,1.16285,1.16282,218,1h
2026-03-11T03:34:15.960Z,CS.D.GBPUSD.MINI.IP,1.34477,1.34492,1.3448449999999998,239,1h
2026-03-11T03:34:16.928Z,CS.D.EURUSD.MINI.IP,1.16279,1.16285,1.16282,680,1h
2026-03-11T03:34:17.026Z,CS.D.EURUSD.MINI.IP,1.16279,1.16285,1.16282,893,1h
2026-03-11T03:34:17.314Z,CS.D.GBPUSD.MINI.IP,1.34477,1.34492,1.3448449999999998,1045,1h
2026-03-11T03:34:17.367Z,CS.D.GBPUSD.MINI.IP,1.34477,1.34492,1.3448449999999998,408,1h
2026-03-11T03:34:18.601Z,CS.D.EURUSD.MINI.IP,1.16279,1.16285,1.16282,452,1h
2026-03-11T03:34:18.935Z,CS.D.GBPUSD.MINI.IP,1.34476,1.34491,1.344835,901,1h
2026-03-11T03:34:19.967Z,CS.D.EURUSD.MINI.IP,1.16279,1.16285,1.16282,165,1h
2026-03-11T03:34:19.983Z,CS.D.EURUSD.MINI.IP,1.16279,1.16285,1.16282,167,1h
2026-03-11T03:34:20.306Z,CS.D.GBPUSD.MINI.IP,1.3448,1.34495,1.344875,483,1h
2026-03-11T03:34:20.332Z,CS.D.GBPUSD.MINI.IP,1.3448,1.34495,1.344875,925,1h
2026-03-11T03:34:22.932Z,CS.D.EURUSD.MINI.IP,1.16281,1.1629,1.162855,367,1h
2026-03-11T03:34:23.074Z,CS.D.EURUSD.MINI.IP,1.16281,1.1629,1.162855,184,1h
2026-03-11T03:34:23.283Z,CS.D.GBPUSD.MINI.IP,1.34483,1.34498,1.344905,726,1h
2026-03-11T03:34:23.405Z,CS.D.GBPUSD.MINI.IP,1.34483,1.34498,1.344905,287,1h
2026-03-11T03:34:24.612Z,CS.D.EURUSD.MINI.IP,1.16282,1.16291,1.162865,413,1h
2026-03-11T03:34:24.950Z,CS.D.GBPUSD.MINI.IP,1.34481,1.34496,1.344885,920,1h
2026-03-11T03:34:25.968Z,CS.D.EURUSD.MINI.IP,1.16282,1.16291,1.162865,799,1h
2026-03-11T03:34:26.001Z,CS.D.EURUSD.MINI.IP,1.16282,1.16291,1.162865,814,1h
2026-03-11T03:34:26.338Z,CS.D.GBPUSD.MINI.IP,1.34479,1.34494,1.344865,221,1h
2026-03-11T03:34:26.344Z,CS.D.GBPUSD.MINI.IP,1.34479,1.34494,1.344865,421,1h
2026-03-11T03:34:27.626Z,CS.D.EURUSD.MINI.IP,1.16282,1.16291,1.162865,1066,1h
2026-03-11T03:34:27.994Z,CS.D.GBPUSD.MINI.IP,1.34482,1.34497,1.344895,134,1h
2026-03-11T03:34:28.995Z,CS.D.EURUSD.MINI.IP,1.16283,1.16292,1.162875,1039,1h
2026-03-11T03:34:29.053Z,CS.D.EURUSD.MINI.IP,1.16283,1.16292,1.162875,280,1h
2026-03-11T03:34:29.398Z,CS.D.GBPUSD.MINI.IP,1.34482,1.34497,1.344895,140,1h
2026-03-11T03:34:29.412Z,CS.D.GBPUSD.MINI.IP,1.34482,1.34497,1.344895,174,1h
